,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,1,0.7,0.91,0.31,0.56,0.52,0.56,0.6,0.46,0.39,0.68,0.66,0.55,0.42,0.62,0.54,0.6,0.58,0.54,0.58,0.71,0.5,0.47,0.63,0.26,0.2,0.11,0.2,0.69,0.32,0.35,0.14,0.16,0.74,0.38,0.36
2,0.7,1,0.77,0.66,0.86,0.86,0.9,0.55,0.86,0.82,0.87,0.89,0.81,0.79,0.86,0.87,0.84,0.82,0.84,0.9,0.83,0.83,0.8,0.83,0.72,0.68,0.59,0.63,0.75,0.62,0.61,0.63,0.63,0.84,0.73,0.81
3,0.91,0.77,1,0.2,0.56,0.49,0.57,0.68,0.51,0.44,0.64,0.68,0.56,0.43,0.72,0.62,0.68,0.63,0.6,0.63,0.73,0.55,0.55,0.72,0.22,0.14,0.02,0.1,0.56,0.16,0.17,0.09,0.09,0.74,0.39,0.35
4,0.31,0.66,0.2,1,0.74,0.81,0.81,0.03,0.66,0.81,0.78,0.68,0.64,0.72,0.53,0.57,0.48,0.5,0.64,0.64,0.54,0.64,0.57,0.46,0.75,0.85,0.81,0.88,0.81,0.94,0.91,0.87,0.78,0.44,0.51,0.81
5,0.56,0.86,0.56,0.74,1,0.97,0.86,0.51,0.95,0.9,0.94,0.94,0.89,0.89,0.87,0.9,0.81,0.84,0.89,0.94,0.83,0.9,0.83,0.84,0.85,0.85,0.75,0.77,0.72,0.8,0.79,0.76,0.75,0.81,0.74,0.87
6,0.52,0.86,0.49,0.81,0.97,1,0.9,0.41,0.95,0.89,0.95,0.91,0.9,0.92,0.85,0.88,0.78,0.82,0.88,0.93,0.81,0.9,0.81,0.79,0.89,0.91,0.85,0.87,0.79,0.88,0.88,0.84,0.84,0.77,0.75,0.93
7,0.56,0.9,0.57,0.81,0.86,0.9,1,0.34,0.83,0.9,0.89,0.78,0.76,0.78,0.76,0.79,0.77,0.74,0.74,0.86,0.72,0.8,0.74,0.7,0.84,0.81,0.77,0.84,0.82,0.77,0.76,0.82,0.83,0.79,0.8,0.93
8,0.6,0.55,0.68,0.03,0.51,0.41,0.34,1,0.59,0.35,0.57,0.61,0.71,0.57,0.77,0.74,0.84,0.83,0.71,0.68,0.83,0.7,0.77,0.86,0.34,0.23,0.05,0.07,0.19,0.11,0.03,0.06,0.08,0.78,0.53,0.27
9,0.46,0.86,0.51,0.66,0.95,0.95,0.83,0.59,1,0.87,0.9,0.9,0.94,0.94,0.91,0.96,0.88,0.91,0.92,0.97,0.86,0.95,0.91,0.89,0.89,0.88,0.78,0.78,0.63,0.75,0.71,0.78,0.78,0.83,0.83,0.89
10,0.39,0.82,0.44,0.81,0.9,0.89,0.9,0.35,0.87,1,0.87,0.83,0.78,0.79,0.76,0.77,0.72,0.72,0.77,0.84,0.7,0.81,0.77,0.73,0.87,0.88,0.79,0.84,0.76,0.8,0.75,0.89,0.8,0.72,0.77,0.94
11,0.68,0.87,0.64,0.78,0.94,0.95,0.89,0.57,0.9,0.87,1,0.94,0.94,0.91,0.91,0.9,0.85,0.87,0.92,0.94,0.92,0.93,0.87,0.88,0.79,0.81,0.69,0.77,0.84,0.83,0.79,0.73,0.7,0.84,0.72,0.84
12,0.66,0.89,0.68,0.68,0.94,0.91,0.78,0.61,0.9,0.83,0.94,1,0.92,0.89,0.93,0.91,0.81,0.85,0.94,0.92,0.9,0.9,0.84,0.9,0.7,0.73,0.59,0.63,0.75,0.73,0.71,0.63,0.57,0.78,0.59,0.76
13,0.55,0.81,0.56,0.64,0.89,0.9,0.76,0.71,0.94,0.78,0.94,0.92,1,0.98,0.96,0.97,0.91,0.96,0.98,0.96,0.96,0.99,0.96,0.95,0.77,0.79,0.65,0.69,0.64,0.74,0.68,0.65,0.64,0.82,0.71,0.77
14,0.42,0.79,0.43,0.72,0.89,0.92,0.78,0.57,0.94,0.79,0.91,0.89,0.98,1,0.91,0.95,0.85,0.91,0.96,0.94,0.89,0.97,0.93,0.88,0.83,0.86,0.75,0.78,0.63,0.82,0.76,0.75,0.74,0.73,0.7,0.82
15,0.62,0.86,0.72,0.53,0.87,0.85,0.76,0.77,0.91,0.76,0.91,0.93,0.96,0.91,1,0.97,0.93,0.95,0.97,0.96,0.96,0.97,0.95,0.98,0.67,0.66,0.5,0.55,0.61,0.6,0.54,0.54,0.52,0.84,0.67,0.71
16,0.54,0.87,0.62,0.57,0.9,0.88,0.79,0.74,0.96,0.77,0.9,0.91,0.97,0.95,0.97,1,0.95,0.97,0.97,0.98,0.94,0.98,0.96,0.96,0.78,0.75,0.62,0.64,0.56,0.64,0.59,0.61,0.63,0.86,0.76,0.77
17,0.6,0.84,0.68,0.48,0.81,0.78,0.77,0.84,0.88,0.72,0.85,0.81,0.91,0.85,0.93,0.95,1,0.99,0.89,0.95,0.94,0.94,0.95,0.95,0.74,0.65,0.51,0.55,0.5,0.52,0.45,0.53,0.56,0.93,0.82,0.7
18,0.58,0.82,0.63,0.5,0.84,0.82,0.74,0.83,0.91,0.72,0.87,0.85,0.96,0.91,0.95,0.97,0.99,1,0.93,0.96,0.96,0.97,0.97,0.97,0.76,0.69,0.56,0.58,0.52,0.58,0.51,0.55,0.58,0.91,0.8,0.71
19,0.54,0.84,0.6,0.64,0.89,0.88,0.74,0.71,0.92,0.77,0.92,0.94,0.98,0.96,0.97,0.97,0.89,0.93,1,0.95,0.95,0.98,0.96,0.95,0.72,0.74,0.58,0.62,0.61,0.7,0.64,0.61,0.57,0.77,0.63,0.73
20,0.58,0.9,0.63,0.64,0.94,0.93,0.86,0.68,0.97,0.84,0.94,0.92,0.96,0.94,0.96,0.98,0.95,0.96,0.95,1,0.93,0.98,0.94,0.94,0.83,0.8,0.68,0.71,0.66,0.71,0.67,0.69,0.7,0.89,0.81,0.84
21,0.71,0.83,0.73,0.54,0.83,0.81,0.72,0.83,0.86,0.7,0.92,0.9,0.96,0.89,0.96,0.94,0.94,0.96,0.95,0.93,1,0.95,0.94,0.97,0.66,0.64,0.47,0.54,0.64,0.62,0.55,0.51,0.49,0.87,0.67,0.67
22,0.5,0.83,0.55,0.64,0.9,0.9,0.8,0.7,0.95,0.81,0.93,0.9,0.99,0.97,0.97,0.98,0.94,0.97,0.98,0.98,0.95,1,0.98,0.95,0.8,0.8,0.66,0.7,0.61,0.72,0.65,0.68,0.67,0.83,0.75,0.79
23,0.47,0.8,0.55,0.57,0.83,0.81,0.74,0.77,0.91,0.77,0.87,0.84,0.96,0.93,0.95,0.96,0.95,0.97,0.96,0.94,0.94,0.98,1,0.96,0.75,0.73,0.57,0.62,0.52,0.63,0.53,0.62,0.6,0.82,0.75,0.73
24,0.63,0.83,0.72,0.46,0.84,0.79,0.7,0.86,0.89,0.73,0.88,0.9,0.95,0.88,0.98,0.96,0.95,0.97,0.95,0.94,0.97,0.95,0.96,1,0.66,0.63,0.45,0.49,0.54,0.54,0.46,0.49,0.47,0.88,0.7,0.66
25,0.26,0.72,0.22,0.75,0.85,0.89,0.84,0.34,0.89,0.87,0.79,0.7,0.77,0.83,0.67,0.78,0.74,0.76,0.72,0.83,0.66,0.8,0.75,0.66,1,0.96,0.94,0.92,0.6,0.82,0.78,0.91,0.95,0.74,0.91,0.95
26,0.2,0.68,0.14,0.85,0.85,0.91,0.81,0.23,0.88,0.88,0.81,0.73,0.79,0.86,0.66,0.75,0.65,0.69,0.74,0.8,0.64,0.8,0.73,0.63,0.96,1,0.96,0.96,0.68,0.92,0.88,0.96,0.94,0.62,0.78,0.95
27,0.11,0.59,0.02,0.81,0.75,0.85,0.77,0.05,0.78,0.79,0.69,0.59,0.65,0.75,0.5,0.62,0.51,0.56,0.58,0.68,0.47,0.66,0.57,0.45,0.94,0.96,1,0.97,0.63,0.89,0.88,0.94,0.98,0.52,0.75,0.92
28,0.2,0.63,0.1,0.88,0.77,0.87,0.84,0.07,0.78,0.84,0.77,0.63,0.69,0.78,0.55,0.64,0.55,0.58,0.62,0.71,0.54,0.7,0.62,0.49,0.92,0.96,0.97,1,0.73,0.94,0.92,0.97,0.97,0.55,0.74,0.94
29,0.69,0.75,0.56,0.81,0.72,0.79,0.82,0.19,0.63,0.76,0.84,0.75,0.64,0.63,0.61,0.56,0.5,0.52,0.61,0.66,0.64,0.61,0.52,0.54,0.6,0.68,0.63,0.73,1,0.81,0.82,0.7,0.63,0.61,0.5,0.77
30,0.32,0.62,0.16,0.94,0.8,0.88,0.77,0.11,0.75,0.8,0.83,0.73,0.74,0.82,0.6,0.64,0.52,0.58,0.7,0.71,0.62,0.72,0.63,0.54,0.82,0.92,0.89,0.94,0.81,1,0.98,0.9,0.85,0.5,0.57,0.85
31,0.35,0.61,0.17,0.91,0.79,0.88,0.76,0.03,0.71,0.75,0.79,0.71,0.68,0.76,0.54,0.59,0.45,0.51,0.64,0.67,0.55,0.65,0.53,0.46,0.78,0.88,0.88,0.92,0.82,0.98,1,0.86,0.84,0.47,0.53,0.83
32,0.14,0.63,0.09,0.87,0.76,0.84,0.82,0.06,0.78,0.89,0.73,0.63,0.65,0.75,0.54,0.61,0.53,0.55,0.61,0.69,0.51,0.68,0.62,0.49,0.91,0.96,0.94,0.97,0.7,0.9,0.86,1,0.95,0.52,0.73,0.95
33,0.16,0.63,0.09,0.78,0.75,0.84,0.83,0.08,0.78,0.8,0.7,0.57,0.64,0.74,0.52,0.63,0.56,0.58,0.57,0.7,0.49,0.67,0.6,0.47,0.95,0.94,0.98,0.97,0.63,0.85,0.84,0.95,1,0.58,0.82,0.94
34,0.74,0.84,0.74,0.44,0.81,0.77,0.79,0.78,0.83,0.72,0.84,0.78,0.82,0.73,0.84,0.86,0.93,0.91,0.77,0.89,0.87,0.83,0.82,0.88,0.74,0.62,0.52,0.55,0.61,0.5,0.47,0.52,0.58,1,0.88,0.73
35,0.38,0.73,0.39,0.51,0.74,0.75,0.8,0.53,0.83,0.77,0.72,0.59,0.71,0.7,0.67,0.76,0.82,0.8,0.63,0.81,0.67,0.75,0.75,0.7,0.91,0.78,0.75,0.74,0.5,0.57,0.53,0.73,0.82,0.88,1,0.86
36,0.36,0.81,0.35,0.81,0.87,0.93,0.93,0.27,0.89,0.94,0.84,0.76,0.77,0.82,0.71,0.77,0.7,0.71,0.73,0.84,0.67,0.79,0.73,0.66,0.95,0.95,0.92,0.94,0.77,0.85,0.83,0.95,0.94,0.73,0.86,1
